local,preco,perfis_imoveis,area,mais_de_1_dormitorio,mais_de_1_banheiro,mais_de_1_vaga_garagem,renda,anos_estudo,mortalidade_infantil,taxa_crescimento,taxa_mortalidade,densidade_populacional,populacao,numero_domicilios,taxa_urbanizacao
Pirapora do Bom Jesus,156000,baixo_valor,73,nao,sim,nao,1196.6,NA,7.94,4.41,7.12,NA,14667,3250,100
Jabaquara,176000,medio_valor,73,sim,nao,nao,1905,7.1,13.36,-0.01,37.82,15182.55,214074,59589,100
Pari,156000,baixo_valor,74,nao,sim,nao,1635,7.6,17.96,-2.83,43.94,NA,13264,4668,100
Penha,196000,medio_valor,77,sim,nao,nao,1896,7.4,17.37,NA,18.76,10793.54,121967,NA,100
Vila Matilde,156000,baixo_valor,NA,nao,sim,nao,1530,7.4,NA,-0.42,15.72,NA,101302,27840,100
Bom Retiro,156000,baixo_valor,79,nao,sim,nao,1710,7.7,14.63,-2.44,44.38,NA,24172,7900,100
Rio Pequeno,156000,baixo_valor,81,nao,sim,nao,1840,6.8,12.11,0.37,23.9,11684.12,113336,26099,100
São Domingos,157000,baixo_valor,82,nao,sim,nao,2047,6.8,15.97,0.95,NA,8591.3,85913,40878,97.15
Cotia,160400,baixo_valor,84,nao,sim,nao,2404.22,6.6,15.02,3.28,51.95,520.02,169006,38371,100
Vila Prudente,160400,baixo_valor,86,nao,sim,nao,1755,7.2,NA,-1.06,35.34,9895.05,97961,29326,NA
Casa Verde,160400,baixo_valor,86,nao,sim,nao,1847,7.4,9.36,-1.27,42.17,11208.17,79578,25337,100
Guarulhos,160400,baixo_valor,86,nao,nao,nao,1764.1,NA,15.8,2.84,54.15,3582.34,1196502,NA,98.04
Mogi das Cruzes,160400,baixo_valor,86,nao,NA,nao,2010.02,NA,17.67,1.85,NA,492.06,354775,89020,91.91
Jaguara,160400,baixo_valor,NA,nao,nao,nao,1590,7.1,9.46,-1.31,36.34,5311.3,24432,7258,NA
Vargem Grande Paulista,160400,baixo_valor,87,nao,nao,nao,1679.1,6.1,11.87,6.12,18.04,1083.42,NA,8464,100
Ipiranga,160400,baixo_valor,87,nao,sim,nao,NA,7.6,13.97,-0.19,34.56,9347.24,98146,28140,100
São Lourenço da Serra,160400,baixo_valor,88,nao,sim,nao,1252.58,5.4,NA,4.88,NA,76.54,14695,3109,90.18
Água Rasa,162000,medio_valor,90,nao,sim,nao,1961,7.6,16.06,-0.98,16.76,11980.87,82668,25936,100
Vila Formosa,162000,medio_valor,92,nao,sim,nao,NA,7.1,NA,-0.31,30.08,12533.65,92749,25932,100
Barueri,162000,medio_valor,92,nao,sim,nao,2508.08,6.6,8.39,4.21,56.67,4009.03,244551,55383,100
Belém,162000,medio_valor,92,nao,sim,nao,1813,7.7,14.93,-1.87,29.3,6136.67,36820,13070,100
Caieiras,162000,medio_valor,93,nao,sim,nao,1618.4,6.5,NA,5.05,NA,829.34,86251,19039,96.77
Ribeirão Pires,162000,medio_valor,94,nao,NA,nao,NA,7.1,10.85,2.01,22.58,1055.42,112930,28241,100
Cursino,202000,medio_valor,101,sim,NA,nao,2194,7.6,NA,-0.81,37.09,NA,98899,29764,100
Carrão,166000,medio_valor,NA,nao,nao,nao,1923,7.4,11.64,-1.05,13.18,10006.27,75047,22892,100
Jaguaré,170000,medio_valor,97,nao,sim,nao,2124,NA,11.98,-0.31,18.99,6359.09,41970,9887,100
Vila Andrade,174000,medio_valor,101,nao,NA,nao,3357,6.5,NA,3.86,41.38,8281.07,85295,14533,100
Santa Cecília,175800,medio_valor,102,nao,nao,nao,2775,8.2,17.08,-1.59,20.59,17148.97,66881,37374,100
Cambuci,198000,medio_valor,102,sim,sim,nao,1958,7.8,9.77,NA,25.88,6787.69,26472,NA,100
Mandaqui,199800,medio_valor,103,sim,sim,nao,1978,7.6,11.56,-0.02,NA,7866.34,103049,28466,100
Santo André,202000,medio_valor,103,sim,sim,sim,2402.26,7.6,14.87,NA,NA,3674.09,665011,185370,100
Bela Vista,202400,alto_valor,104,sim,sim,nao,2400,8.4,NA,NA,13.09,23218.08,60367,25679,100
Liberdade,206000,alto_valor,104,sim,sim,NA,2106,8.3,NA,-1.75,33.99,15618.65,57789,21164,100
Socorro,208000,alto_valor,104,sim,sim,sim,1987,8,10.07,-0.96,39.44,2918.6,37650,NA,100
Tucuruvi,211800,alto_valor,NA,NA,sim,sim,2381,8,12.62,-1.1,8.31,10575.89,NA,29293,100
Vila Guilherme,212000,alto_valor,NA,sim,sim,sim,2202,7.4,7.13,-1.75,12.62,6764.49,46675,15575,100
Vila Sônia,213800,alto_valor,105,sim,sim,sim,2970,7.4,11.98,0.13,30.78,8869.7,87810,21690,100
Barra Funda,216000,alto_valor,106,sim,NA,NA,2359,8,13.61,-1.75,40.56,2161.79,12106,4573,100
Campo Grande,219800,alto_valor,106,sim,sim,NA,NA,8.2,15.55,0.54,24.78,7121.83,93296,NA,100
São Bernardo do Campo,222000,alto_valor,106,sim,sim,sim,2534.14,7.6,12.82,1.84,38.19,1836.34,754734,197847,98.34
Santana,226000,alto_valor,106,sim,sim,sim,2329,8.3,12.69,-0.96,18.14,9527.78,120050,18886,100
Tatuapé,230000,alto_valor,106,sim,sim,sim,NA,8.2,7.83,-0.22,20.27,9599.63,78717,24299,100
São Caetano do Sul,231800,alto_valor,106,sim,sim,sim,3423.78,8.6,11.18,-0.38,25.25,11509.08,138109,43393,100
Mooca,232000,alto_valor,107,sim,sim,sim,2466,8.2,NA,-1.18,27.79,7848.96,NA,20107,100
Vila Leopoldina,244000,alto_valor,108,sim,sim,sim,2908,7.7,12.77,NA,NA,3734.31,26887,7731,100
